"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChdDSUhNMG9nS0VJQ0FnSUR6eXRPbHdRRRAB","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",3,"Very clean and professional, modern equipment, regrettably foreigners are being charged a 30% higher rate than the fees published on their website, and without fluoride application.","Neef Rene","104211904849982518062","https://www.google.com/maps/contrib/104211904849982518062/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJiT9HI6l7trQNuhsDhRw9-nnIVCB7ZqnL0gNoIbOfNCLu-nA=w36-h36-p-rp-mo-br100",0,3,0,"Edited 2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNzN3ZxS2dBRRAB","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",1,"There is woman doctor, she explained symptoms too quick even no customers much. I feel that she try to finish examination as soon as possible. We never go here, I can’t recommend you.","WP TK","105392021418469206551","https://www.google.com/maps/contrib/105392021418469206551/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLcTpWSpAA63gdDF8lJzWvNcIwwF2usaCZIU29zCQSXaYTadA=w36-h36-p-rp-mo-ba12-br100",1,23,1,"6 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURGdTZDUjN3RRAB","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"The dentist is very polite 👍🏻👍🏻👍🏻
The place is clean, and there is no need to wait in a long line. …","Pim sr","113828683490549380189","https://www.google.com/maps/contrib/113828683490549380189/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXExDR8kAmyO9xp08oJ67vLjraDYTWdUEm8OKUxtrV7MORrlwg=w36-h36-p-rp-mo-br100",0,6,0,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURWdmZ6Zk5BEAE","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"One of the best dentist ive ever been too!","Micke Bouchnak","104125146336830159997","https://www.google.com/maps/contrib/104125146336830159997/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUyj4dSi7pfX0dwAZiVBxI-KvsYTYzEA7bZlKkuKnnGi0s3gjCu=w36-h36-p-rp-mo-ba12-br100",1,50,332,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNseWQ3U0tREAE","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"Good service ka","Benyapa Charoensuk","102537842456653211018","https://www.google.com/maps/contrib/102537842456653211018/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXiwn-7X8wazY4mvs_9arqijF9XiTsB8_Gn5rmAm1Rg-K0dQ9c=w36-h36-p-rp-mo-br100",0,3,0,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUQ1c043YklnEAE","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"Very good services","BeWaris","116823584500270044336","https://www.google.com/maps/contrib/116823584500270044336/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUIpzUVzLf8GCWyxMqlyMP0QjoG7vcgRgkp5eQhlzJS0IS_ix1M=w36-h36-p-rp-mo-br100",0,1,0,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUQ1c3JYNTVnRRAB","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"The doctor and stand are very friend","Max Mo","106534206652198783283","https://www.google.com/maps/contrib/106534206652198783283/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXEzRFlBfLVP62N5ijduKufZQBASdnBXbqiJIris6jnMkT9fccx=w36-h36-p-rp-mo-br100",0,2,1,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNGdzhxTDdRRRAB","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"Very good","Wukong’","108260502727743128032","https://www.google.com/maps/contrib/108260502727743128032/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU4Jd-gt8S8tpbF6kpqnyOx6gUrsM-0H53CydRl_5X7G7q7fvk=w36-h36-p-rp-mo-ba12-br100",1,16,31,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNKejVUam9nRRAB","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"Good good","Pichakorn Padungpattanodom","106058973970441082583","https://www.google.com/maps/contrib/106058973970441082583/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKH6TLakpPNdKGzmjE9SzyIRILE-eW53Oayjy_z7mwf3Wr9rw=w36-h36-p-rp-mo-br100",0,2,0,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUN4X2VuMkRBEAE","0x30e29f09709a1bb7:0xfa165aa2d4749522","MOS Dental Clinic Rama 4",5,"👍🏻👍🏻 …","HONGTAE KT.","111346955518536247790","https://www.google.com/maps/contrib/111346955518536247790/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXNSuGRba3WaqZonEvX01xm1MnPpqAW1oQzPf5x8QripcS9Rswf=w36-h36-p-rp-mo-br100",0,2,1,"3 years ago","","relevant"
